tool,maf,batch,depth,precision,recall,f1score
Confindr,0.01,1,120,0.11383181237289827,0.1262655261969286,0.11011419681767762
Confindr,0.01,1,170,0.12751816591881762,0.22098097335140016,0.15449389151636392
Confindr,0.01,1,220,0.12436345988366988,0.3093702009936766,0.1694611887704376
Confindr,0.01,2,120,0.23095871774880378,0.3135941734417344,0.25570335034957525
Confindr,0.01,2,170,0.24459300797662903,0.5357206978319783,0.32316439974319333
Confindr,0.01,2,220,0.21490568308633895,0.6425296409214092,0.310361097671817
Confindr,0.01,3,120,0.3412075602457174,0.542821251129178,0.40459967036341915
Confindr,0.01,3,170,0.2976523273093964,0.713871386630533,0.4065622275094407
Confindr,0.01,3,220,0.26439280569006,0.8576072719060523,0.39275668031944927
Confindr,0.01,4,120,0.38796827106761106,0.6640102755194219,0.4755107032895614
Confindr,0.01,4,170,0.3413919860418607,0.857086438572719,0.47543490894041673
Confindr,0.01,4,220,0.2719346948073255,0.8967728093947607,0.4060086462784633
Confindr,0.01,5,120,0.42832834704060996,0.7794201671183378,0.5399616048961547
Confindr,0.01,5,170,0.34777038089998535,0.8879999435411021,0.4870011150602485
Confindr,0.01,5,220,0.27184323131144345,0.9072758581752485,0.4070983963460678
Confindr,0.01,6,120,0.45561747230964533,0.8683014340560072,0.5846577779738398
Confindr,0.01,6,170,0.3487916024945711,0.9029821589882566,0.491381536123936
Confindr,0.01,6,220,0.2726235466029732,0.9094227077687442,0.40810840358160816
Confindr,0.01,7,120,0.46157457011142516,0.8890184620596207,0.5953794795477356
Confindr,0.01,7,170,0.3453046062917788,0.9047758581752484,0.4879776365715129
Confindr,0.01,7,220,0.27267234848493194,0.9124435411020777,0.40867072545679906
Confindr,0.01,8,120,0.4693548353239668,0.9002913279132791,0.605670033759398
Confindr,0.01,8,170,0.3459209053655582,0.9069227077687444,0.4892927005715422
Confindr,0.01,8,220,0.26972358223530446,0.9124435411020777,0.40506377928713777
Confindr,0.01,9,120,0.4630541413250784,0.9000191960252936,0.6003154472519177
Confindr,0.01,9,170,0.3463496590354754,0.9094227077687442,0.4903574098139002
Confindr,0.01,9,220,0.2730034049277454,0.9158401084010841,0.40942435089827517
Confindr,0.01,10,120,0.45780576114995064,0.9023105803974707,0.596552188795993
Confindr,0.01,10,170,0.3481895956646544,0.908901874435411,0.4923611922862367
Confindr,0.01,10,220,0.272705088193248,0.9158401084010841,0.40922602994871965
Confindr,0.02,1,120,0.11493144019454479,0.1257446928635953,0.11001090177228992
Confindr,0.02,1,170,0.12708454510587552,0.19778652890695572,0.144281041101903
Confindr,0.02,1,220,0.1328285948945309,0.19423328816621496,0.14383195396621384
Confindr,0.02,2,120,0.231735995679932,0.31255250677506774,0.2554959702526924
Confindr,0.02,2,170,0.2510368186375961,0.48843495934959347,0.3125330043277191
Confindr,0.02,2,220,0.2625654088669902,0.45563431571815716,0.30855946626135916
Confindr,0.02,3,120,0.34111326087722454,0.5398004177958446,0.4030911649396621
Confindr,0.02,3,170,0.31992477276293096,0.6832523148148149,0.41607065201965676
Confindr,0.02,3,220,0.35441622024268227,0.6991076671183378,0.44451202078719804
Confindr,0.02,4,120,0.3884211696183357,0.6615102755194219,0.47471789145023796
Confindr,0.02,4,170,0.36827586836925297,0.840188290424571,0.4935234620366117
Confindr,0.02,4,220,0.410763872757251,0.8533423667570009,0.533405891563181
Confindr,0.02,5,120,0.42985340150684087,0.7769201671183378,0.5400083666450441
Confindr,0.02,5,170,0.37881507690092175,0.8771666102077686,0.5106161636628903
Confindr,0.02,5,220,0.418297184464438,0.89475299232159,0.5511912194280036
Confindr,0.02,6,120,0.4571673375387558,0.8658014340560072,0.5847921865759903
Confindr,0.02,6,170,0.38073854351917213,0.9008988256549232,0.5184124942389832
Confindr,0.02,6,220,0.42235331074739546,0.9041508581752484,0.5566292757667975
Confindr,0.02,7,120,0.46382324736010244,0.8890184620596207,0.5968865717463172
Confindr,0.02,7,170,0.377960652071425,0.904255024841915,0.5165225426325771
Confindr,0.02,7,220,0.4277013244519807,0.9092550248419151,0.5639464980699637
Confindr,0.02,8,120,0.47141096202582844,0.9002913279132791,0.6071501817741994
Confindr,0.02,8,170,0.37748450153569363,0.906401874435411,0.5166640411484191
Confindr,0.02,8,220,0.4220762188041215,0.9102966915085817,0.5593597195879595
Confindr,0.02,9,120,0.46524890923753154,0.9000191960252936,0.6018899142860178
Confindr,0.02,9,170,0.3779018191703899,0.9094227077687442,0.5178881383033728
