tool,specie,maf,batch,precision,recall,f1score
Confindr,campylobacter,0.01,1,0.18430252219558785,0.2109375,0.19192151281098427
Confindr,campylobacter,0.01,2,0.35739169491047934,0.4982638888888889,0.4083145802738193
Confindr,campylobacter,0.01,3,0.42877469184639355,0.6597222222222222,0.5129458299202876
Confindr,campylobacter,0.01,4,0.4556978403254905,0.7300347222222223,0.5547069998036224
Confindr,campylobacter,0.01,5,0.47549303351191274,0.7769097222222222,0.5841882861860664
Confindr,campylobacter,0.01,6,0.48051023821150696,0.7899305555555555,0.5921359632138703
Confindr,campylobacter,0.01,7,0.4860147569953539,0.8029513888888888,0.6004334476931882
Confindr,campylobacter,0.01,8,0.48985015241063995,0.8046875,0.6034310148518899
Confindr,campylobacter,0.01,9,0.4888903549836508,0.8081597222222222,0.604066089638501
Confindr,campylobacter,0.01,10,0.48681732073747347,0.8081597222222222,0.6025643605926998
Confindr,campylobacter,0.02,1,0.1634095137031155,0.11545138888888888,0.1344902485920663
Confindr,campylobacter,0.02,2,0.3824730482285967,0.3723958333333333,0.37661313213443554
Confindr,campylobacter,0.02,3,0.48388707427989813,0.5703125,0.5229428635624656
Confindr,campylobacter,0.02,4,0.5265795532403005,0.677951388888889,0.5921824670406954
Confindr,campylobacter,0.02,5,0.5575805721752575,0.751736111111111,0.6395379123610584
Confindr,campylobacter,0.02,6,0.5684088474943726,0.7803819444444443,0.6566843866934288
Confindr,campylobacter,0.02,7,0.5756470092568081,0.7994791666666666,0.6680948519010562
Confindr,campylobacter,0.02,8,0.5812790971130932,0.8029513888888888,0.672872862462996
Confindr,campylobacter,0.02,9,0.5812400536467562,0.8072916666666666,0.6745239733661733
Confindr,campylobacter,0.02,10,0.5825218800566555,0.8072916666666666,0.6754429329258255
Confindr,campylobacter,0.03,1,0.07883344725449982,0.030381944444444402,0.043419732024911034
Confindr,campylobacter,0.03,2,0.2980998596949295,0.14930555555555555,0.19745753783281328
Confindr,campylobacter,0.03,3,0.48560119181526656,0.3298611111111111,0.39110295699066383
Confindr,campylobacter,0.03,4,0.5960723849332138,0.5104166666666666,0.5496562384028526
Confindr,campylobacter,0.03,5,0.646086803093329,0.6336805555555555,0.6397510699243226
Confindr,campylobacter,0.03,6,0.6756357972608784,0.7100694444444445,0.6921086963435457
Confindr,campylobacter,0.03,7,0.6953293549279871,0.7708333333333334,0.7308224875729835
Confindr,campylobacter,0.03,8,0.7044503744497815,0.7881944444444443,0.7433881701527296
Confindr,campylobacter,0.03,9,0.7104973820589846,0.8020833333333334,0.7529508951453012
Confindr,campylobacter,0.03,10,0.7108462960395187,0.806423611111111,0.7549184000690689
Confindr,campylobacter,0.04,1,0.05490944240944234,0.013888888888888867,0.022082211754340633
Confindr,campylobacter,0.04,2,0.187566425027445,0.055555555555555504,0.08541069569898013
Confindr,campylobacter,0.04,3,0.3572881309262914,0.13368055555555555,0.19343529566054082
Confindr,campylobacter,0.04,4,0.5421909656365348,0.2725694444444444,0.3622140203875623
Confindr,campylobacter,0.04,5,0.665234453028359,0.4539930555555555,0.5394413863520575
Confindr,campylobacter,0.04,6,0.7114006283571501,0.5755208333333334,0.6347935622567918
Confindr,campylobacter,0.04,7,0.7541447688362707,0.7022569444444445,0.7268839788226091
Confindr,campylobacter,0.04,8,0.7713261766200855,0.759548611111111,0.765129630807729
Confindr,campylobacter,0.04,9,0.7781921606526034,0.7847222222222222,0.7813250466302782
Confindr,campylobacter,0.04,10,0.782936503765281,0.798611111111111,0.7905621098274368
Confindr,campylobacter,0.05,1,0.04134322467655797,0.0078125,0.01308493751029153
Confindr,campylobacter,0.05,2,0.1120181233423771,0.022569444444444402,0.03742720294487183
Confindr,campylobacter,0.05,3,0.247765261471248,0.06423611111111106,0.10103372647314503
Confindr,campylobacter,0.05,4,0.3994710750268089,0.12239583333333333,0.18591094081590562
Confindr,campylobacter,0.05,5,0.5876888310264862,0.2526041666666667,0.3526430218046339
