tool,specie,sequencing_id,maf,depth,batch,precision,recall,f1score
Confindr,staph_aureus,ERR8958843,0.01,120,1,0.06818181818181818,0.075,0.07142857142857141
Confindr,staph_aureus,ERR8958843,0.01,120,2,0.19607843137254902,0.25,0.2197802197802198
Confindr,staph_aureus,ERR8958843,0.01,120,4,0.2982456140350877,0.425,0.35051546391752575
Confindr,staph_aureus,ERR8958843,0.01,120,6,0.4788732394366197,0.85,0.6126126126126126
Confindr,staph_aureus,ERR8958843,0.01,120,8,0.4931506849315068,0.9,0.6371681415929203
Confindr,staph_aureus,SRR28370694,0.01,120,10,0.5714285714285714,0.9,0.6990291262135921
Confindr,staph_aureus,SRR28370694,0.01,120,2,0.4473684210526316,0.425,0.4358974358974359
Confindr,staph_aureus,SRR28370694,0.01,120,5,0.5925925925925926,0.8,0.6808510638297872
Confindr,staph_aureus,SRR28370694,0.01,120,3,0.5238095238095238,0.55,0.5365853658536585
Confindr,staph_aureus,SRR28370694,0.01,120,7,0.6071428571428571,0.85,0.7083333333333333
Confindr,campylobacter_jejuni,SRR27638397,0.01,120,10,0.6275303643724697,0.8072916666666666,0.7061503416856493
Confindr,campylobacter_jejuni,SRR27638397,0.01,120,1,0.17886178861788618,0.11458333333333333,0.13968253968253969
Confindr,campylobacter_jejuni,SRR27638397,0.01,120,3,0.5391705069124424,0.609375,0.5721271393643031
Confindr,campylobacter_jejuni,SRR27638397,0.01,120,5,0.6049382716049383,0.765625,0.6758620689655173
Confindr,campylobacter_jejuni,SRR27638397,0.01,120,7,0.6184738955823293,0.8020833333333334,0.6984126984126985
Confindr,campylobacter_jejuni,SRR27638397,0.01,120,9,0.6326530612244898,0.8072916666666666,0.7093821510297483
Confindr,campylobacter_jejuni,SRR27710526,0.01,120,1,0.10625,0.08854166666666667,0.09659090909090909
Confindr,campylobacter_jejuni,SRR27710526,0.01,120,3,0.4225941422594142,0.5260416666666666,0.4686774941995359
Confindr,campylobacter_jejuni,SRR27710526,0.01,120,4,0.43333333333333335,0.5416666666666666,0.4814814814814815
Confindr,campylobacter_jejuni,SRR27710526,0.01,120,6,0.5238095238095238,0.7447916666666666,0.6150537634408603
Confindr,campylobacter_jejuni,SRR27710526,0.01,120,8,0.5376344086021505,0.78125,0.6369426751592356
Confindr,staph_aureus,ERR8958843,0.01,120,3,0.2982456140350877,0.425,0.35051546391752575
Confindr,staph_aureus,SRR28370694,0.01,120,8,0.6065573770491803,0.925,0.7326732673267327
Confindr,ecoli,ERR12533301,0.01,120,7,0.336283185840708,0.926829268292683,0.4935064935064935
Confindr,staph_aureus,ERR8958843,0.01,120,5,0.4714285714285714,0.825,0.6000000000000001
Confindr,staph_aureus,ERR8958843,0.01,120,7,0.4931506849315068,0.9,0.6371681415929203
Confindr,staph_aureus,ERR8958843,0.01,120,9,0.4931506849315068,0.9,0.6371681415929203
Confindr,staph_aureus,SRR28370694,0.01,120,1,0.375,0.225,0.28125000000000006
Confindr,staph_aureus,SRR28370694,0.01,120,4,0.6041666666666666,0.725,0.6590909090909091
Confindr,staph_aureus,SRR28370694,0.01,120,6,0.6071428571428571,0.85,0.7083333333333333
Confindr,staph_aureus,SRR28370694,0.01,120,9,0.5806451612903226,0.9,0.7058823529411764
Confindr,campylobacter_jejuni,SRR27638397,0.01,120,2,0.42196531791907516,0.3802083333333333,0.39999999999999997
Confindr,campylobacter_jejuni,SRR27638397,0.01,120,4,0.5892116182572614,0.7395833333333334,0.6558891454965358
Confindr,campylobacter_jejuni,SRR27638397,0.01,120,6,0.6040816326530613,0.7708333333333334,0.6773455377574371
Confindr,campylobacter_jejuni,SRR27638397,0.01,120,8,0.6390041493775933,0.8020833333333334,0.7113163972286373
Confindr,campylobacter_jejuni,SRR27710526,0.01,120,10,0.5422535211267606,0.8020833333333334,0.6470588235294118
Confindr,campylobacter_jejuni,SRR27710526,0.01,120,2,0.29797979797979796,0.3072916666666667,0.30256410256410254
Confindr,campylobacter_jejuni,SRR27710526,0.01,120,5,0.503731343283582,0.703125,0.5869565217391303
Confindr,campylobacter_jejuni,SRR27710526,0.01,120,7,0.5359712230215827,0.7760416666666666,0.6340425531914893
Confindr,campylobacter_jejuni,SRR27710526,0.01,120,9,0.5444839857651246,0.796875,0.6469344608879491
Confindr,ecoli,ERR12533301,0.01,120,10,0.33043478260869563,0.926829268292683,0.48717948717948717
Confindr,ecoli,ERR12533301,0.01,120,1,0.12037037037037036,0.3170731707317073,0.17449664429530204
Confindr,ecoli,ERR12533301,0.01,120,2,0.23684210526315788,0.6585365853658537,0.34838709677419355
Confindr,ecoli,ERR12533301,0.01,120,3,0.2892561983471074,0.8536585365853658,0.43209876543209874
Confindr,ecoli,ERR12533301,0.01,120,4,0.31896551724137934,0.9024390243902439,0.4713375796178344
Confindr,ecoli,ERR12533301,0.01,120,5,0.32456140350877194,0.9024390243902439,0.4774193548387097
Confindr,ecoli,ERR12533301,0.01,120,6,0.3220338983050847,0.926829268292683,0.4779874213836478
Confindr,ecoli,ERR12533301,0.01,120,8,0.3392857142857143,0.926829268292683,0.49673202614379086
Confindr,ecoli,ERR12533301,0.01,120,9,0.336283185840708,0.926829268292683,0.4935064935064935
Confindr,ecoli,SRR25689478,0.01,120,10,0.4065934065934066,0.9024390243902439,0.5606060606060607
Confindr,ecoli,SRR25689478,0.01,120,1,0.0,0.0,0.0
Confindr,ecoli,SRR25689478,0.01,120,2,0.09259259259259259,0.12195121951219512,0.10526315789473684
Confindr,ecoli,SRR25689478,0.01,120,3,0.203125,0.3170731707317073,0.2476190476190476
Confindr,ecoli,SRR25689478,0.01,120,4,0.28205128205128205,0.5365853658536586,0.3697478991596639
Confindr,ecoli,SRR25689478,0.01,120,5,0.3125,0.6097560975609756,0.4132231404958678
Confindr,ecoli,SRR25689478,0.01,120,6,0.35555555555555557,0.7804878048780488,0.48854961832061067
Confindr,ecoli,SRR25689478,0.01,120,7,0.3695652173913043,0.8292682926829268,0.5112781954887218
Confindr,ecoli,SRR25689478,0.01,120,8,0.3888888888888889,0.8536585365853658,0.5343511450381678
Confindr,ecoli,SRR26036455,0.01,120,10,0.5068493150684932,0.9024390243902439,0.6491228070175438
Confindr,klebsiella_pneumoniae,ERR8958737,0.01,120,10,0.3125,1.0,0.47619047619047616
Confindr,klebsiella_pneumoniae,ERR8958737,0.01,120,1,0.075,0.2,0.10909090909090907
Confindr,klebsiella_pneumoniae,ERR8958737,0.01,120,2,0.075,0.2,0.10909090909090907
Confindr,klebsiella_pneumoniae,ERR8958737,0.01,120,3,0.23404255319148937,0.7333333333333333,0.3548387096774194
Confindr,klebsiella_pneumoniae,ERR8958737,0.01,120,4,0.2653061224489796,0.8666666666666667,0.40625
Confindr,klebsiella_pneumoniae,ERR8958737,0.01,120,5,0.28,0.9333333333333333,0.4307692307692308
Confindr,klebsiella_pneumoniae,ERR8958737,0.01,120,6,0.28846153846153844,1.0,0.44776119402985076
Confindr,klebsiella_pneumoniae,ERR8958737,0.01,120,7,0.29411764705882354,1.0,0.45454545454545453
Confindr,klebsiella_pneumoniae,ERR8958737,0.01,120,8,0.3125,1.0,0.47619047619047616
Confindr,klebsiella_pneumoniae,ERR8958737,0.01,120,9,0.3125,1.0,0.47619047619047616
Confindr,klebsiella_pneumoniae,SRR27348733,0.01,120,10,0.5,1.0,0.6666666666666666
Confindr,klebsiella_pneumoniae,SRR27348733,0.01,120,1,0.06666666666666667,0.06666666666666667,0.06666666666666667
Confindr,klebsiella_pneumoniae,SRR27348733,0.01,120,2,0.06666666666666667,0.06666666666666667,0.06666666666666667
Confindr,klebsiella_pneumoniae,SRR27348733,0.01,120,3,0.2631578947368421,0.3333333333333333,0.29411764705882354
Confindr,klebsiella_pneumoniae,SRR27348733,0.01,120,4,0.3333333333333333,0.4666666666666667,0.3888888888888889
Confindr,klebsiella_pneumoniae,SRR27348733,0.01,120,5,0.391304347826087,0.6,0.47368421052631576
Confindr,klebsiella_pneumoniae,SRR27348733,0.01,120,6,0.5357142857142857,1.0,0.6976744186046512
Confindr,klebsiella_pneumoniae,SRR27348733,0.01,120,7,0.5172413793103449,1.0,0.6818181818181819
Confindr,klebsiella_pneumoniae,SRR27348733,0.01,120,8,0.5172413793103449,1.0,0.6818181818181819
Confindr,klebsiella_pneumoniae,SRR27348733,0.01,120,9,0.5172413793103449,1.0,0.6818181818181819
Confindr,salmonella_enterica,SRR27136088,0.01,120,10,0.33064516129032256,0.9111111111111111,0.48520710059171596
Confindr,salmonella_enterica,SRR27136088,0.01,120,1,0.0989010989010989,0.2,0.1323529411764706
Confindr,salmonella_enterica,SRR27136088,0.01,120,2,0.18181818181818182,0.4,0.25000000000000006
Confindr,salmonella_enterica,SRR27136088,0.01,120,3,0.24324324324324326,0.6,0.34615384615384615
Confindr,salmonella_enterica,SRR27136088,0.01,120,4,0.2916666666666667,0.7777777777777778,0.42424242424242425
Confindr,salmonella_enterica,SRR27136088,0.01,120,5,0.3225806451612903,0.8888888888888888,0.4733727810650888
Confindr,salmonella_enterica,SRR27136088,0.01,120,6,0.31746031746031744,0.8888888888888888,0.4678362573099415
Confindr,ecoli,SRR25689478,0.01,120,9,0.391304347826087,0.8780487804878049,0.5413533834586466
Confindr,salmonella_enterica,SRR27136088,0.01,120,7,0.328,0.9111111111111111,0.48235294117647065
Confindr,salmonella_enterica,SRR27136088,0.01,120,8,0.33064516129032256,0.9111111111111111,0.48520710059171596
Confindr,salmonella_enterica,SRR27136088,0.01,120,9,0.3360655737704918,0.9111111111111111,0.49101796407185627
Confindr,salmonella_enterica,SRR27755678,0.01,120,10,0.4148936170212766,0.8666666666666667,0.5611510791366907
Confindr,salmonella_enterica,SRR27755678,0.01,120,1,0.16326530612244897,0.17777777777777778,0.1702127659574468
Confindr,salmonella_enterica,SRR27755678,0.01,120,2,0.42424242424242425,0.6222222222222222,0.5045045045045045
Confindr,salmonella_enterica,SRR27755678,0.01,120,3,0.4782608695652174,0.7333333333333333,0.5789473684210527
Confindr,salmonella_enterica,SRR27755678,0.01,120,4,0.47368421052631576,0.8,0.5950413223140496
Confindr,salmonella_enterica,SRR27755678,0.01,120,5,0.4578313253012048,0.8444444444444444,0.5937499999999999
Confindr,ecoli,SRR26036455,0.01,120,1,0.0,0.0,0.0
Confindr,salmonella_enterica,SRR27755678,0.01,120,6,0.47674418604651164,0.9111111111111111,0.6259541984732825
Confindr,salmonella_enterica,SRR27755678,0.01,120,7,0.4823529411764706,0.9111111111111111,0.6307692307692309
Confindr,salmonella_enterica,SRR27755678,0.01,120,8,0.4823529411764706,0.9111111111111111,0.6307692307692309
Confindr,salmonella_enterica,SRR27755678,0.01,120,9,0.4444444444444444,0.8888888888888888,0.5925925925925926
Confindr,salmonella_enterica,SRR28399428,0.01,120,10,0.2971014492753623,0.9111111111111111,0.44808743169398907
Confindr,salmonella_enterica,SRR28399428,0.01,120,1,0.02,0.044444444444444446,0.027586206896551727
Confindr,salmonella_enterica,SRR28399428,0.01,120,2,0.12844036697247707,0.3111111111111111,0.18181818181818182
Confindr,salmonella_enterica,SRR28399428,0.01,120,3,0.211864406779661,0.5555555555555556,0.30674846625766866
Confindr,salmonella_enterica,SRR28399428,0.01,120,4,0.25396825396825395,0.7111111111111111,0.3742690058479532
Confindr,salmonella_enterica,SRR28399428,0.01,120,5,0.2824427480916031,0.8222222222222222,0.42045454545454547
Confindr,salmonella_enterica,SRR28399428,0.01,120,6,0.3053435114503817,0.8888888888888888,0.45454545454545453
Confindr,salmonella_enterica,SRR28399428,0.01,120,7,0.3082706766917293,0.9111111111111111,0.4606741573033708
Confindr,salmonella_enterica,SRR28399428,0.01,120,8,0.3106060606060606,0.9111111111111111,0.46327683615819204
Confindr,salmonella_enterica,SRR28399428,0.01,120,9,0.2949640287769784,0.9111111111111111,0.44565217391304346
Confindr,staph_aureus,ERR8958843,0.01,170,10,0.3673469387755102,0.9,0.5217391304347826
Confindr,staph_aureus,ERR8958843,0.01,170,1,0.05263157894736842,0.1,0.06896551724137931
Confindr,staph_aureus,ERR8958843,0.01,170,2,0.20454545454545456,0.45,0.28125000000000006
Confindr,staph_aureus,ERR8958843,0.01,170,3,0.28865979381443296,0.7,0.40875912408759124
Confindr,staph_aureus,ERR8958843,0.01,170,4,0.33,0.825,0.4714285714285714
Confindr,staph_aureus,ERR8958843,0.01,170,5,0.34951456310679613,0.9,0.5034965034965035
Confindr,staph_aureus,ERR8958843,0.01,170,6,0.34951456310679613,0.9,0.5034965034965035
Confindr,staph_aureus,ERR8958843,0.01,170,7,0.34615384615384615,0.9,0.5
Confindr,staph_aureus,ERR8958843,0.01,170,8,0.35294117647058826,0.9,0.5070422535211269
Confindr,staph_aureus,ERR8958843,0.01,170,9,0.36,0.9,0.5142857142857143
Confindr,staph_aureus,SRR28370694,0.01,170,10,0.46153846153846156,0.9,0.6101694915254238
Confindr,staph_aureus,SRR28370694,0.01,170,1,0.33962264150943394,0.45,0.3870967741935484
Confindr,staph_aureus,SRR28370694,0.01,170,2,0.39655172413793105,0.575,0.46938775510204084
Confindr,staph_aureus,SRR28370694,0.01,170,3,0.4411764705882353,0.75,0.5555555555555556
Confindr,staph_aureus,SRR28370694,0.01,170,4,0.4647887323943662,0.825,0.5945945945945946
Confindr,staph_aureus,SRR28370694,0.01,170,5,0.4647887323943662,0.825,0.5945945945945946
Confindr,staph_aureus,SRR28370694,0.01,170,6,0.4675324675324675,0.9,0.6153846153846153
Confindr,staph_aureus,SRR28370694,0.01,170,7,0.4605263157894737,0.875,0.603448275862069
Confindr,staph_aureus,SRR28370694,0.01,170,8,0.44871794871794873,0.875,0.5932203389830508
Confindr,staph_aureus,SRR28370694,0.01,170,9,0.45569620253164556,0.9,0.6050420168067226
Confindr,campylobacter_jejuni,SRR27638397,0.01,170,10,0.5132450331125827,0.8072916666666666,0.6275303643724697
Confindr,campylobacter_jejuni,SRR27638397,0.01,170,1,0.27461139896373055,0.2760416666666667,0.27532467532467536
Confindr,campylobacter_jejuni,SRR27638397,0.01,170,2,0.45098039215686275,0.5989583333333334,0.5145413870246085
Confindr,campylobacter_jejuni,SRR27638397,0.01,170,3,0.5070422535211268,0.75,0.6050420168067226
Confindr,campylobacter_jejuni,SRR27638397,0.01,170,4,0.5156794425087108,0.7708333333333334,0.6179540709812109
Confindr,campylobacter_jejuni,SRR27638397,0.01,170,5,0.5238095238095238,0.8020833333333334,0.6337448559670783
Confindr,campylobacter_jejuni,SRR27638397,0.01,170,6,0.5218855218855218,0.8072916666666666,0.6339468302658485
Confindr,campylobacter_jejuni,SRR27638397,0.01,170,7,0.5166666666666667,0.8072916666666666,0.6300813008130082
