tool,depth,specie,sequencing_id,mrd,batch,precision,recall,f1score
NanoMGT,220,ecoli,SRR26036455,0.01,1,0.020833333333333332,0.024390243902439025,0.022471910112359546
NanoMGT,220,ecoli,SRR26036455,0.01,2,0.07142857142857142,0.0975609756097561,0.08247422680412371
NanoMGT,220,ecoli,SRR26036455,0.01,3,0.2608695652173913,0.43902439024390244,0.32727272727272727
NanoMGT,220,ecoli,SRR26036455,0.01,4,0.29333333333333333,0.5365853658536586,0.37931034482758624
NanoMGT,220,ecoli,SRR26036455,0.01,5,0.34523809523809523,0.7073170731707317,0.4640000000000001
NanoMGT,220,ecoli,SRR26036455,0.01,6,0.3563218390804598,0.7560975609756098,0.484375
NanoMGT,220,ecoli,SRR26036455,0.01,7,0.34831460674157305,0.7560975609756098,0.4769230769230769
NanoMGT,220,ecoli,SRR26036455,0.01,8,0.4146341463414634,0.8292682926829268,0.5528455284552845
NanoMGT,220,ecoli,SRR26036455,0.01,9,0.43820224719101125,0.9512195121951219,0.6
NanoMGT,220,ecoli,SRR26036455,0.01,10,0.4105263157894737,0.9512195121951219,0.573529411764706
NanoMGT,220,klebsiella_pneumoniae,ERR8958737,0.01,1,0.06666666666666667,0.13333333333333333,0.08888888888888888
NanoMGT,220,klebsiella_pneumoniae,ERR8958737,0.01,2,0.13333333333333333,0.26666666666666666,0.17777777777777776
NanoMGT,220,klebsiella_pneumoniae,ERR8958737,0.01,3,0.16129032258064516,0.3333333333333333,0.21739130434782605
NanoMGT,220,klebsiella_pneumoniae,ERR8958737,0.01,4,0.24242424242424243,0.5333333333333333,0.3333333333333333
NanoMGT,220,klebsiella_pneumoniae,ERR8958737,0.01,5,0.3235294117647059,0.7333333333333333,0.4489795918367347
NanoMGT,220,klebsiella_pneumoniae,ERR8958737,0.01,6,0.2972972972972973,0.7333333333333333,0.42307692307692313
NanoMGT,220,klebsiella_pneumoniae,ERR8958737,0.01,7,0.3333333333333333,0.8,0.47058823529411764
NanoMGT,220,klebsiella_pneumoniae,ERR8958737,0.01,8,0.375,0.8,0.5106382978723405
NanoMGT,220,klebsiella_pneumoniae,ERR8958737,0.01,9,0.41379310344827586,0.8,0.5454545454545454
NanoMGT,220,klebsiella_pneumoniae,ERR8958737,0.01,10,0.43333333333333335,0.8666666666666667,0.5777777777777778
NanoMGT,220,salmonella_enterica,SRR27755678,0.01,1,0.2636363636363636,0.6444444444444445,0.37419354838709673
NanoMGT,220,salmonella_enterica,SRR27755678,0.01,2,0.28888888888888886,0.8666666666666667,0.43333333333333335
NanoMGT,220,salmonella_enterica,SRR27755678,0.01,3,0.3559322033898305,0.9333333333333333,0.5153374233128835
NanoMGT,220,salmonella_enterica,SRR27755678,0.01,4,0.3611111111111111,0.8666666666666667,0.5098039215686274
NanoMGT,220,salmonella_enterica,SRR27755678,0.01,5,0.32608695652173914,1.0,0.4918032786885246
NanoMGT,220,salmonella_enterica,SRR27755678,0.01,6,0.38235294117647056,0.8666666666666667,0.5306122448979592
NanoMGT,220,salmonella_enterica,SRR27755678,0.01,7,0.38095238095238093,0.8888888888888888,0.5333333333333333
