Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR25689478, 1%, SRR26036455, 1%, ERR12533301, 98%
2, SRR25689478, 2%, SRR26036455, 2%, ERR12533301, 96%
3, SRR25689478, 3%, SRR26036455, 3%, ERR12533301, 94%
4, SRR25689478, 4%, SRR26036455, 4%, ERR12533301, 92%
5, SRR25689478, 5%, SRR26036455, 5%, ERR12533301, 90%
6, SRR25689478, 6%, SRR26036455, 6%, ERR12533301, 88%
7, SRR25689478, 7%, SRR26036455, 7%, ERR12533301, 86%
8, SRR25689478, 8%, SRR26036455, 8%, ERR12533301, 84%
9, SRR25689478, 9%, SRR26036455, 9%, ERR12533301, 82%
10, SRR25689478, 10%, SRR26036455, 10%, ERR12533301, 80%
