Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR25689478, 1%, SRR26036455, 98%, ERR12533301, 1%
2, SRR25689478, 2%, SRR26036455, 96%, ERR12533301, 2%
3, SRR25689478, 3%, SRR26036455, 94%, ERR12533301, 3%
4, SRR25689478, 4%, SRR26036455, 92%, ERR12533301, 4%
5, SRR25689478, 5%, SRR26036455, 90%, ERR12533301, 5%
6, SRR25689478, 6%, SRR26036455, 88%, ERR12533301, 6%
7, SRR25689478, 7%, SRR26036455, 86%, ERR12533301, 7%
8, SRR25689478, 8%, SRR26036455, 84%, ERR12533301, 8%
9, SRR25689478, 9%, SRR26036455, 82%, ERR12533301, 9%
10, SRR25689478, 10%, SRR26036455, 80%, ERR12533301, 10%
