Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR28399428, 1%, SRR27136088, 1%, SRR27755678, 98%
2, SRR28399428, 2%, SRR27136088, 2%, SRR27755678, 96%
3, SRR28399428, 3%, SRR27136088, 3%, SRR27755678, 94%
4, SRR28399428, 4%, SRR27136088, 4%, SRR27755678, 92%
5, SRR28399428, 5%, SRR27136088, 5%, SRR27755678, 90%
6, SRR28399428, 6%, SRR27136088, 6%, SRR27755678, 88%
7, SRR28399428, 7%, SRR27136088, 7%, SRR27755678, 86%
8, SRR28399428, 8%, SRR27136088, 8%, SRR27755678, 84%
9, SRR28399428, 9%, SRR27136088, 9%, SRR27755678, 82%
10, SRR28399428, 10%, SRR27136088, 10%, SRR27755678, 80%
