tool,specie,mrd,depth,batch,precision,recall,f1score
Confindr,campylobacter,0.01,120,1,0.14255589430894308,0.1015625,0.11813672438672439
Confindr,campylobacter,0.01,120,2,0.35997255794943656,0.34375,0.35128205128205126
Confindr,campylobacter,0.01,120,3,0.4808823245859283,0.5677083333333333,0.5204023167819195
Confindr,campylobacter,0.01,120,4,0.5112724757952973,0.640625,0.5686853134890086
Confindr,campylobacter,0.01,120,5,0.5543348074442602,0.734375,0.6314092953523238
Confindr,campylobacter,0.01,120,6,0.5639455782312925,0.7578125,0.6461996505991487
Confindr,campylobacter,0.01,120,7,0.577222559301956,0.7890625,0.6662276258020938
Confindr,campylobacter,0.01,120,8,0.5883192789898719,0.7916666666666667,0.6741295361939365
Confindr,campylobacter,0.01,120,9,0.5885685234948073,0.8020833333333333,0.6781583059588487
Confindr,campylobacter,0.01,120,10,0.5848919427496151,0.8046875,0.6766045826075305
Confindr,campylobacter,0.01,170,1,0.20613161041303935,0.2265625,0.21511108481495728
Confindr,campylobacter,0.01,170,2,0.3744968185949877,0.5338541666666667,0.439456928330118
Confindr,campylobacter,0.01,170,3,0.42124264574790515,0.6510416666666667,0.511182425726196
Confindr,campylobacter,0.01,170,4,0.46329949136929793,0.7578125,0.5737918503054202
Confindr,campylobacter,0.01,170,5,0.4741554741554742,0.7890625,0.5912739012800401
Confindr,campylobacter,0.01,170,6,0.47704445585801514,0.8020833333333333,0.5971931953527045
Confindr,campylobacter,0.01,170,7,0.4785037878787879,0.8072916666666666,0.5999671209947394
Confindr,campylobacter,0.01,170,8,0.4799242424242425,0.8098958333333333,0.601805356288857
Confindr,campylobacter,0.01,170,9,0.47696149960713885,0.8098958333333333,0.5994794679005205
Confindr,campylobacter,0.01,170,10,0.47554907022860776,0.8072916666666666,0.5976479660690188
Confindr,campylobacter,0.01,220,1,0.20422006186478125,0.3046875,0.24251672923127143
Confindr,campylobacter,0.01,220,2,0.3377057081870137,0.6171875,0.4342047612092887
Confindr,campylobacter,0.01,220,3,0.38419910520534734,0.7604166666666667,0.5072527472527473
