batch,mrd,dp,average_f1
1,0.01,0.1,0.15062508936854968
1,0.01,0.12,0.15049593595042626
1,0.01,0.14,0.15304085581829827
1,0.01,0.16,0.1523087570573801
1,0.01,0.18,0.15569596190463458
1,0.01,0.2,0.15273950690813343
1,0.01,0.22,0.1412901987068669
1,0.01,0.24,0.14411844328186962
1,0.01,0.26,0.14162143119110063
1,0.01,0.28,0.14182514501720647
1,0.01,0.3,0.1374154220238339
1,0.01,0.32,0.13919557636223928
1,0.01,0.34,0.13827456757517773
1,0.01,0.36,0.14012072074815235
1,0.01,0.38,0.14084241153559332
1,0.01,0.4,0.14303184729487553
1,0.01,0.42,0.13933332827531394
1,0.01,0.44,0.1377772508952284
1,0.01,0.46,0.13957821934483858
1,0.01,0.48,0.13515275471393456
1,0.01,0.5,0.1325962562339649
1,0.01,0.52,0.12803364216339588
1,0.01,0.54,0.12921064287332112
1,0.01,0.56,0.12817529316391177
1,0.01,0.58,0.12920797036452086
1,0.02,0.1,0.14792924528412282
1,0.02,0.12,0.14332185524966465
1,0.02,0.14,0.14713831399347435
1,0.02,0.16,0.1470253658915854
1,0.02,0.18,0.14190815907416587
1,0.02,0.2,0.1408191152261065
1,0.02,0.22,0.13800901370882274
1,0.02,0.24,0.1354812966425125
1,0.02,0.26,0.1331682630754692
1,0.02,0.28,0.12989854932076403
1,0.02,0.3,0.12144628823790406
1,0.02,0.32,0.11609144711903206
1,0.02,0.34,0.11729870270503014
1,0.02,0.36,0.11554337650430331
1,0.02,0.38,0.10770472255475842
1,0.02,0.4,0.09864183163546418
1,0.02,0.42,0.09480916708444458
1,0.02,0.44,0.09538640720567582
1,0.02,0.46,0.08850107037272796
1,0.02,0.48,0.08434133885901669
1,0.02,0.5,0.08450275935942024
1,0.02,0.52,0.08248013784394526
1,0.02,0.54,0.08145218214518324
1,0.02,0.56,0.08225336772407059
1,0.02,0.58,0.08263268441431784
1,0.03,0.01,0.13385465440381616
1,0.03,0.02,0.1288487555955759
1,0.03,0.06,0.1118367123129942
1,0.03,0.08,0.10645557430020301
1,0.03,0.1,0.10950398933373971
1,0.03,0.12,0.10020522899577296
1,0.03,0.14,0.08674901627867859
1,0.03,0.16,0.08573979553665055
1,0.03,0.18,0.07554555290620309
1,0.03,0.2,0.0722955177870852
1,0.03,0.22,0.06648741137129228
1,0.03,0.24,0.061368067603216815
1,0.03,0.26,0.062327293584174395
1,0.03,0.28,0.062404992593671806
1,0.03,0.3,0.0605726086299715
1,0.03,0.32,0.0608037723376762
1,0.03,0.34,0.06110282385792588
1,0.03,0.36,0.061893210149024054
1,0.03,0.38,0.051219714516907704
1,0.03,0.4,0.04499861368351713
1,0.03,0.42,0.04505555912977961
1,0.03,0.44,0.04507043427155832
1,0.03,0.46,0.04507043427155832
1,0.03,0.48,0.04507798685643049
1,0.03,0.5,0.03899895950080739
1,0.03,0.52,0.03905644471433302
1,0.03,0.54,0.03905644471433302
1,0.03,0.56,0.03775393318839561
1,0.03,0.58,0.037806011435962586
1,0.04,0.01,0.1580525759017001
1,0.04,0.02,0.13635496535771635
1,0.04,0.06,0.12243186366897706
1,0.04,0.08,0.12348392383733309
1,0.04,0.1,0.11196416072052022
1,0.04,0.12,0.10860095727107123
1,0.04,0.14,0.09519866884512805
1,0.04,0.16,0.08748289893800729
1,0.04,0.18,0.08977456574121336
1,0.04,0.2,0.07533160786695206
1,0.04,0.22,0.057670635277396014
1,0.04,0.24,0.05722902077992876
1,0.04,0.26,0.05488483986431925
1,0.04,0.28,0.053804138400317274
1,0.04,0.3,0.05381916650286905
1,0.04,0.32,0.05327060496847503
1,0.04,0.34,0.05327060496847503
1,0.04,0.36,0.05347062386516559
1,0.04,0.38,0.054022728765096575
1,0.04,0.4,0.04201246996456876
1,0.04,0.42,0.039759944292152787
1,0.04,0.44,0.039759944292152787
1,0.04,0.46,0.039759944292152787
1,0.04,0.48,0.033548764167929186
1,0.04,0.5,0.033548764167929186
1,0.04,0.52,0.033548764167929186
1,0.04,0.54,0.033548764167929186
1,0.04,0.56,0.033548764167929186
1,0.04,0.58,0.03363734597322639
1,0.05,0.01,0.16980943039146976
1,0.05,0.02,0.1657322905015253
1,0.05,0.06,0.12408504432405068
1,0.05,0.08,0.11687722708130868
1,0.05,0.1,0.11406048596201919
1,0.05,0.12,0.10482318364627208
1,0.05,0.14,0.10463121236646704
1,0.05,0.16,0.08548960833737404
1,0.05,0.18,0.06392952211940675
1,0.05,0.2,0.06222726867931246
1,0.05,0.22,0.06044285846206611
1,0.05,0.24,0.06044285846206611
1,0.05,0.26,0.04279329233457673
1,0.05,0.28,0.04332886775283087
1,0.05,0.3,0.04343249343249341
1,0.05,0.32,0.043544635656838936
1,0.05,0.34,0.04231508928493222
1,0.05,0.36,0.04231508928493222
1,0.05,0.38,0.04231508928493222
1,0.05,0.4,0.04231508928493222
1,0.05,0.42,0.02714339966681089
1,0.05,0.44,0.027151030516811274
1,0.05,0.46,0.027151030516811274
1,0.05,0.48,0.027151030516811274
1,0.05,0.5,0.027240451960073356
1,0.05,0.52,0.02733072503612843
1,0.05,0.54,0.02733072503612843
1,0.05,0.56,0.02733072503612843
1,0.05,0.58,0.02733072503612843
2,0.01,0.1,0.2283690742310061
2,0.01,0.12,0.23139090751101296
2,0.01,0.14,0.23891230689087822
2,0.01,0.16,0.2453277186445042
2,0.01,0.18,0.25200112455996126
2,0.01,0.2,0.2552403913578082
2,0.01,0.22,0.25818832994571705
2,0.01,0.24,0.25928824778047377
2,0.01,0.26,0.2635890885686429
2,0.01,0.28,0.2638923965107891
2,0.01,0.3,0.2589165989728605
2,0.01,0.32,0.25564921160707016
2,0.01,0.34,0.25614100147556085
2,0.01,0.36,0.2585766044441844
2,0.01,0.38,0.255905692033166
2,0.01,0.4,0.25566805365673534
2,0.01,0.42,0.2555256097178656
2,0.01,0.44,0.2529279797683873
2,0.01,0.46,0.2514470249448531
2,0.01,0.48,0.24506632806123044
2,0.01,0.5,0.24459509988346165
2,0.01,0.52,0.23958849081772385
2,0.01,0.54,0.23741679125337373
2,0.01,0.56,0.23700846685902302
2,0.01,0.58,0.2316365719809169
2,0.02,0.1,0.2940191583483091
2,0.02,0.12,0.28695802938814075
2,0.02,0.14,0.27788646361646985
2,0.02,0.16,0.27239062864712843
2,0.02,0.18,0.26282049173664807
2,0.02,0.2,0.2518820251781687
2,0.02,0.22,0.24976629802310263
2,0.02,0.24,0.2427685341786873
2,0.02,0.26,0.2395028779431938
2,0.02,0.28,0.23732443710961432
2,0.02,0.3,0.2397692307458774
