tool,specie,sequencing_id,mrd,depth,batch,precision,recall,f1score
Confindr,Staphylococcus aureus,ERR8958843,0.01,220,10,0.2264150943396226,0.9,0.3618090452261306
Confindr,Staphylococcus aureus,ERR8958843,0.01,220,1,0.0529801324503311,0.2,0.0837696335078534
Confindr,Staphylococcus aureus,ERR8958843,0.01,220,2,0.1168831168831168,0.45,0.1855670103092783
Confindr,Staphylococcus aureus,ERR8958843,0.01,220,3,0.2048192771084337,0.85,0.3300970873786407
Confindr,Staphylococcus aureus,ERR8958843,0.01,220,4,0.2142857142857142,0.9,0.3461538461538461
Confindr,Staphylococcus aureus,ERR8958843,0.01,220,5,0.216867469879518,0.9,0.3495145631067961
Confindr,Staphylococcus aureus,ERR8958843,0.01,220,6,0.216867469879518,0.9,0.3495145631067961
Confindr,Staphylococcus aureus,ERR8958843,0.01,220,7,0.2208588957055214,0.9,0.3546798029556651
Confindr,Staphylococcus aureus,ERR8958843,0.01,220,8,0.2208588957055214,0.9,0.3546798029556651
Confindr,Staphylococcus aureus,ERR8958843,0.01,220,9,0.225,0.9,0.36
Confindr,Staphylococcus aureus,SRR28370694,0.01,220,10,0.3854166666666667,0.925,0.5441176470588236
Confindr,Staphylococcus aureus,SRR28370694,0.01,220,1,0.25,0.45,0.3214285714285714
Confindr,Staphylococcus aureus,SRR28370694,0.01,220,2,0.3037974683544304,0.6,0.4033613445378151
Confindr,Staphylococcus aureus,SRR28370694,0.01,220,3,0.3478260869565217,0.8,0.4848484848484848
Confindr,Staphylococcus aureus,SRR28370694,0.01,220,4,0.3723404255319149,0.875,0.5223880597014925
Confindr,Staphylococcus aureus,SRR28370694,0.01,220,5,0.3711340206185567,0.9,0.5255474452554746
Confindr,Staphylococcus aureus,SRR28370694,0.01,220,6,0.3789473684210526,0.9,0.5333333333333333
Confindr,Staphylococcus aureus,SRR28370694,0.01,220,7,0.3814432989690721,0.925,0.5401459854014599
Confindr,Staphylococcus aureus,SRR28370694,0.01,220,8,0.3814432989690721,0.925,0.5401459854014599
Confindr,Staphylococcus aureus,SRR28370694,0.01,220,9,0.3814432989690721,0.925,0.5401459854014599
Confindr,Salmonella enterica,SRR27136088,0.01,220,10,0.1782608695652174,0.9111111111111112,0.2981818181818181
Confindr,Salmonella enterica,SRR27136088,0.01,220,1,0.0878048780487804,0.4,0.144
Confindr,Salmonella enterica,SRR27136088,0.01,220,2,0.1583710407239819,0.7777777777777778,0.2631578947368421
Confindr,Salmonella enterica,SRR27136088,0.01,220,3,0.1739130434782608,0.8888888888888888,0.2909090909090909
Confindr,Salmonella enterica,SRR27136088,0.01,220,4,0.1722689075630252,0.9111111111111112,0.2897526501766784
Confindr,Salmonella enterica,SRR27136088,0.01,220,5,0.1715481171548117,0.9111111111111112,0.2887323943661971
