tool,specie,mrd,depth,batch,precision,recall,f1score
NanoMGT,ecoli,0.01,220,1,0.04683048433048433,0.10569105691056911,0.06396505436254728
NanoMGT,ecoli,0.01,220,2,0.1276594263436369,0.2601626016260163,0.1697350320476699
NanoMGT,ecoli,0.01,220,3,0.25893661321074735,0.5853658536585366,0.3548938441013913
NanoMGT,ecoli,0.01,220,4,0.2973533295604603,0.7154471544715447,0.41636548036142357
NanoMGT,ecoli,0.01,220,5,0.34057252635234286,0.7886178861788617,0.4744646464646465
NanoMGT,ecoli,0.01,220,6,0.3602890978753048,0.8699186991869919,0.5085846621420632
NanoMGT,ecoli,0.01,220,7,0.37035349730941497,0.8699186991869919,0.5189642808690428
NanoMGT,ecoli,0.01,220,8,0.40340886960450567,0.9024390243902438,0.5567154494332415
NanoMGT,ecoli,0.01,220,9,0.4017501007036399,0.9674796747967479,0.5663901458019106
NanoMGT,ecoli,0.01,220,10,0.39449707165598835,0.9674796747967479,0.560269701750432
NanoMGT,klebsiella,0.01,220,1,0.06904761904761905,0.1,0.0789272030651341
NanoMGT,klebsiella,0.01,220,2,0.19166666666666665,0.26666666666666666,0.21792114695340503
NanoMGT,klebsiella,0.01,220,3,0.23853989813242782,0.3666666666666667,0.28516624040920713
NanoMGT,klebsiella,0.01,220,4,0.33860342555994727,0.6,0.42982456140350866
NanoMGT,klebsiella,0.01,220,5,0.4117647058823529,0.7333333333333333,0.5217870932156646
NanoMGT,klebsiella,0.01,220,6,0.4343629343629344,0.7666666666666666,0.5448717948717949
NanoMGT,klebsiella,0.01,220,7,0.46212121212121215,0.8333333333333334,0.5866454689984102
NanoMGT,klebsiella,0.01,220,8,0.4701086956521739,0.8333333333333334,0.597424412094065
NanoMGT,klebsiella,0.01,220,9,0.5112443778110944,0.8666666666666667,0.6411483253588517
NanoMGT,klebsiella,0.01,220,10,0.5427536231884058,0.9333333333333333,0.683625730994152
NanoMGT,salmonella,0.01,220,1,0.12805172969107395,0.3111111111111111,0.18117711446177853
NanoMGT,salmonella,0.01,220,2,0.19844683393070486,0.5037037037037037,0.2828964950149039
NanoMGT,salmonella,0.01,220,3,0.24542884310704982,0.674074074074074,0.3596393876237589
NanoMGT,salmonella,0.01,220,4,0.2871005291005291,0.7111111111111111,0.4086274509803922
NanoMGT,salmonella,0.01,220,5,0.30274701485735117,0.7703703703703703,0.43256123254829704
NanoMGT,salmonella,0.01,220,6,0.3141864963959655,0.8518518518518517,0.4568691034272086
NanoMGT,salmonella,0.01,220,7,0.3272551296941541,0.8814814814814814,0.4759545259545259
NanoMGT,salmonella,0.01,220,8,0.35041027280477405,0.8962962962962964,0.5019077426433133
NanoMGT,salmonella,0.01,220,9,0.34387018287418575,0.8962962962962964,0.49444424026363826
NanoMGT,salmonella,0.01,220,10,0.3480237030060434,0.9259259259259259,0.5042041954508798
NanoMGT,campylobacter,0.01,220,1,0.2290305010893246,0.1640625,0.19000000000000003
NanoMGT,campylobacter,0.01,220,2,0.402520083187212,0.3385416666666667,0.366232723518954
NanoMGT,campylobacter,0.01,220,3,0.4836860670194003,0.4453125,0.46303216335246233
NanoMGT,campylobacter,0.01,220,4,0.5628302459763135,0.671875,0.6075830862849119
NanoMGT,campylobacter,0.01,220,5,0.584529956850817,0.6276041666666667,0.6052128123046616
NanoMGT,campylobacter,0.01,220,6,0.5932053144224196,0.6692708333333333,0.6287586322654901
NanoMGT,campylobacter,0.01,220,7,0.6483095942734681,0.8880208333333333,0.7479377473371147
NanoMGT,campylobacter,0.01,220,8,0.6492809796652061,0.7890625,0.7102589807852966
NanoMGT,campylobacter,0.01,220,9,0.634265988372093,0.671875,0.6520078316953317
NanoMGT,campylobacter,0.01,220,10,0.648064916668124,0.8177083333333333,0.7203104148690437
NanoMGT,ecoli,0.01,120,1,0.02775757575757576,0.07317073170731707,0.03976817331932709
NanoMGT,ecoli,0.01,120,2,0.09975530041319515,0.3008130081300813,0.14768528494018693
NanoMGT,ecoli,0.01,120,3,0.1499088630667578,0.4471544715447155,0.22106469613800991
NanoMGT,ecoli,0.01,120,4,0.21888955293258294,0.6097560975609756,0.31872000335516815
NanoMGT,ecoli,0.01,120,5,0.23253138974888202,0.6666666666666666,0.3411993576611662
NanoMGT,ecoli,0.01,120,6,0.28323411146070804,0.8211382113821138,0.4192239858906525
NanoMGT,ecoli,0.01,120,7,0.2706235688468046,0.8455284552845529,0.4074038809689489
NanoMGT,ecoli,0.01,120,8,0.29883201328976905,0.8699186991869919,0.443092831416289
NanoMGT,ecoli,0.01,120,9,0.2989203778677463,0.9024390243902438,0.44697525009808303
NanoMGT,ecoli,0.01,120,10,0.30312284334023465,0.9186991869918698,0.45443087066123705
NanoMGT,salmonella,0.01,120,1,0.0724036899512648,0.14814814814814814,0.09630357602263957
NanoMGT,salmonella,0.01,120,2,0.2146136576438543,0.4962962962962963,0.29751994412185184
NanoMGT,salmonella,0.01,120,3,0.2634998443821973,0.6296296296296297,0.36713920653275656
NanoMGT,salmonella,0.01,120,4,0.2863834422657952,0.7037037037037036,0.4026018793974595
NanoMGT,salmonella,0.01,120,5,0.2828268988754922,0.8148148148148148,0.4195221849872697
NanoMGT,salmonella,0.01,120,6,0.30223348080490936,0.8148148148148149,0.438254058155316
NanoMGT,salmonella,0.01,120,7,0.2799547355173954,0.8592592592592592,0.4223036549818544
NanoMGT,salmonella,0.01,120,8,0.2834142742901867,0.8814814814814814,0.42889897145216294
NanoMGT,salmonella,0.01,120,9,0.2788262103958581,0.8962962962962964,0.4251798555517972
NanoMGT,salmonella,0.01,120,10,0.2692741935483871,0.8962962962962964,0.41406186406186407
NanoMGT,staph,0.01,220,1,0.14222105814562597,0.2875,0.19012456179607667
