group,tool,mrd,depth,batch,precision,recall,f1score
group 1,Confindr,0.01,120,1,0.067089462565653,0.1232158988256549,0.08410809305429515
group 1,Confindr,0.01,120,2,0.20113213562432936,0.3766937669376694,0.2557585423741047
group 1,Confindr,0.01,120,3,0.2827638418780937,0.5627822944896116,0.3672837208907313
group 1,Confindr,0.01,120,4,0.33902150565036226,0.7188798554652214,0.4532477860050683
group 1,Confindr,0.01,120,5,0.35982208591758214,0.7917795844625113,0.4878732382828914
group 1,Confindr,0.01,120,6,0.37952291146964184,0.8668473351400181,0.5219492299899131
group 1,Confindr,0.01,120,7,0.387412003516702,0.8905149051490515,0.5348686081458197
group 1,Confindr,0.01,120,8,0.3968650884922232,0.8986449864498646,0.5451477995694489
group 1,Confindr,0.01,120,9,0.3874667851822487,0.8990063233965674,0.5364446770146811
group 1,Confindr,0.01,120,10,0.3810862886429261,0.9034327009936767,0.5318923277042479
group 1,Confindr,0.01,170,1,0.08383014984799285,0.2183378500451671,0.1188673045704957
group 1,Confindr,0.01,170,2,0.19089881379458315,0.5661246612466124,0.28075832303818293
group 1,Confindr,0.01,170,3,0.24277578141154754,0.7633242999096657,0.3627589418136705
group 1,Confindr,0.01,170,4,0.26614946824629393,0.8513098464317976,0.40091742983754686
group 1,Confindr,0.01,170,5,0.27727127936216917,0.8942186088527552,0.418624326199981
group 1,Confindr,0.01,170,6,0.2802242730853074,0.9064137308039747,0.4240387716987378
group 1,Confindr,0.01,170,7,0.2757726798957725,0.9145438121047877,0.42052552327667747
group 1,Confindr,0.01,170,8,0.2771039323332115,0.9186088527551942,0.4226644946770992
group 1,Confindr,0.01,170,9,0.2761479185807791,0.9186088527551942,0.42172292733009736
group 1,Confindr,0.01,170,10,0.2781566753974106,0.9186088527551942,0.42450291170974735
group 1,Confindr,0.01,220,1,0.11016507215068785,0.37524841915085816,0.1660748131613723
group 1,Confindr,0.01,220,2,0.18404142655110117,0.7018970189701896,0.28656827486312486
group 1,Confindr,0.01,220,3,0.21252384169467295,0.8513098464317976,0.33591286268689674
group 1,Confindr,0.01,220,4,0.22025275849130174,0.9023486901535682,0.35025103461091767
group 1,Confindr,0.01,220,5,0.2187196791648114,0.9145438121047877,0.34984770297752776
group 1,Confindr,0.01,220,6,0.2159105873935093,0.9186088527551942,0.3470566735495679
group 1,Confindr,0.01,220,7,0.2146237799958613,0.9186088527551942,0.34558850858229084
group 1,Confindr,0.01,220,8,0.21326272202957808,0.9186088527551942,0.34391223987749886
group 1,Confindr,0.01,220,9,0.21354237283815936,0.92710027100271,0.3452322286053514
group 1,Confindr,0.01,220,10,0.2157962096392168,0.92710027100271,0.3480449534316038
group 1,Confindr,0.02,120,1,0.067089462565653,0.1232158988256549,0.08410809305429515
group 1,Confindr,0.02,120,2,0.20113213562432936,0.3766937669376694,0.2557585423741047
group 1,Confindr,0.02,120,3,0.2827638418780937,0.5627822944896116,0.3672837208907313
group 1,Confindr,0.02,120,4,0.33902150565036226,0.7188798554652214,0.4532477860050683
group 1,Confindr,0.02,120,5,0.35982208591758214,0.7917795844625113,0.4878732382828914
