batch,mrd,ii,average_f1
1,0.01,0.01,0.14086989057916213
1,0.01,0.02,0.1413473472860968
1,0.01,0.04,0.1407827352112261
1,0.01,0.06,0.13778969249471
1,0.01,0.08,0.13847887165214243
1,0.01,0.1,0.13940989485461067
1,0.01,0.12,0.1403628232060607
1,0.01,0.14,0.139798201649789
1,0.01,0.16,0.14077052310306923
1,0.01,0.18,0.14118563872742146
1,0.01,0.2,0.13797231991284795
1,0.01,0.22,0.1382984863312953
1,0.01,0.24,0.14046353839929873
1,0.01,0.26,0.1409635380503827
1,0.01,0.28,0.14208538255020167
1,0.01,0.3,0.14303184729487553
1,0.01,0.32,0.1427175769901738
1,0.01,0.34,0.14259717259523555
1,0.01,0.36,0.1396589532071514
1,0.01,0.38,0.14060393799309345
1,0.01,0.4,0.14120428556484177
1,0.01,0.42,0.14016410456609454
1,0.01,0.44,0.14055821244733682
1,0.01,0.46,0.14033306278884025
1,0.01,0.48,0.13773397682353414
1,0.01,0.5,0.13565315664592023
1,0.01,0.52,0.1363384009979584
1,0.01,0.54,0.1376262587824066
1,0.01,0.56,0.13732197833235435
1,0.01,0.58,0.1375527779587084
1,0.02,0.01,0.13811165570050557
1,0.02,0.02,0.13816146641977234
1,0.02,0.04,0.13542814108525295
1,0.02,0.06,0.13569517203157147
1,0.02,0.08,0.13581360705566686
1,0.02,0.1,0.13640558836026928
1,0.02,0.12,0.13572549688671273
1,0.02,0.14,0.13486610418082237
1,0.02,0.16,0.13190871069711307
1,0.02,0.18,0.13126630412414483
1,0.02,0.2,0.13213714808511753
1,0.02,0.22,0.1336249435241304
1,0.02,0.24,0.1338861765439841
1,0.02,0.26,0.13415348475034605
1,0.02,0.28,0.13470288895906385
1,0.02,0.3,0.13379412419924144
1,0.02,0.32,0.13063864514014792
1,0.02,0.34,0.13063864514014792
1,0.02,0.36,0.13093354489569894
1,0.02,0.38,0.13104899019386848
1,0.02,0.4,0.13198241207334224
1,0.02,0.42,0.13222797978832249
1,0.02,0.44,0.1324860776073959
1,0.02,0.46,0.13379774557117327
1,0.02,0.48,0.13261740853180543
1,0.02,0.5,0.13288865627140758
