batch,mrd,pp,average_f1
1,0.01,0.2,0.14257032183147825
1,0.01,0.22,0.1425477519595561
1,0.01,0.24,0.14140722657119909
1,0.01,0.26,0.14319425321758736
1,0.01,0.28,0.1413486365144867
1,0.01,0.3,0.14165520702912124
1,0.01,0.32,0.14169642037018812
1,0.01,0.34,0.13997802406746165
1,0.01,0.36,0.14028445528511896
1,0.01,0.38,0.13796625123879672
1,0.01,0.4,0.13831411508895314
1,0.01,0.42,0.13892616406923206
1,0.01,0.44,0.1385163438918243
1,0.01,0.46,0.13845285094462914
1,0.01,0.48,0.13920470030382884
1,0.01,0.5,0.13958276965335426
1,0.01,0.52,0.14011642749245676
1,0.01,0.54,0.14093734730529103
1,0.01,0.56,0.14151722938669478
1,0.01,0.58,0.14124129596416687
1,0.01,0.6,0.14013569785691105
1,0.01,0.62,0.14012366279385072
1,0.01,0.64,0.14128304317927357
1,0.01,0.66,0.14221744234003558
1,0.01,0.68,0.14473531221208383
1,0.02,0.2,0.13297972457218324
1,0.02,0.22,0.13348942973740574
1,0.02,0.24,0.13401035945812065
1,0.02,0.26,0.13514577718485843
1,0.02,0.28,0.13552193111497474
1,0.02,0.3,0.13564261806509478
1,0.02,0.32,0.1359603548003573
1,0.02,0.34,0.134712012432078
1,0.02,0.36,0.13397462106493713
1,0.02,0.38,0.1347883642837436
1,0.02,0.4,0.13607636447102836
1,0.02,0.42,0.1339232954680623
1,0.02,0.44,0.1351711337372531
1,0.02,0.46,0.13542649635216628
1,0.02,0.48,0.13285575919196052
1,0.02,0.5,0.13279148579412095
1,0.02,0.52,0.1331682630754692
1,0.02,0.54,0.13383228732753333
1,0.02,0.56,0.13410306126902266
1,0.02,0.58,0.1314351860483764
1,0.02,0.6,0.13024630924373606
1,0.02,0.62,0.13097050573607977
1,0.02,0.64,0.12996385307501532
1,0.02,0.66,0.13166063240147988
1,0.02,0.68,0.13294187146708297
1,0.03,0.2,0.09457306422802676
1,0.03,0.22,0.09510022738041991
1,0.03,0.24,0.0953215121133483
1,0.03,0.26,0.09659571832317537
1,0.03,0.28,0.09685689624248946
1,0.03,0.3,0.09578922822083914
1,0.03,0.32,0.09456423376360804
1,0.03,0.34,0.08656816862646065
1,0.03,0.36,0.08798089584681038
1,0.03,0.38,0.08835806928168485
1,0.03,0.4,0.08840892735270178
1,0.03,0.42,0.08871958873828731
1,0.03,0.44,0.08516524834184165
1,0.03,0.46,0.08531135372034589
1,0.03,0.48,0.0811027477309265
1,0.03,0.5,0.08137185245322258
1,0.03,0.52,0.0813976447606669
1,0.03,0.54,0.08191883183710576
1,0.03,0.56,0.08211863203690595
1,0.03,0.58,0.08214467116068944
1,0.03,0.6,0.08287955221548536
1,0.03,0.62,0.08390483197917845
1,0.03,0.64,0.07933736785445526
1,0.03,0.66,0.07967012641703515
1,0.03,0.68,0.07847830432154457
1,0.04,0.1,0.11304900125629898
1,0.04,0.12,0.11406383341867211
1,0.04,0.14,0.1145366620976377
1,0.04,0.16,0.111437255429782
1,0.04,0.18,0.1117771334398969
1,0.04,0.2,0.11299900912466566
1,0.04,0.22,0.11303034981679351
1,0.04,0.24,0.10835738157992522
1,0.04,0.26,0.10860095727107123
1,0.04,0.28,0.10884904384655616
1,0.04,0.3,0.10891322046059801
1,0.04,0.32,0.10788239497877213
1,0.04,0.34,0.10004795066906866
1,0.04,0.36,0.10004795066906866
1,0.04,0.38,0.10004795066906866
1,0.04,0.4,0.09604718952545037
1,0.04,0.42,0.09718771566597652
1,0.04,0.44,0.08869825430766268
1,0.04,0.46,0.08776850865262723
1,0.04,0.48,0.08820239740073939
1,0.04,0.5,0.08840204451734703
1,0.04,0.52,0.08860812617730017
1,0.04,0.54,0.08898605512665769
1,0.04,0.56,0.09001822739020507
1,0.04,0.58,0.08545675113061559
1,0.04,0.6,0.08353931021273818
1,0.04,0.62,0.08470214844085144
1,0.04,0.64,0.08522713433199366
1,0.04,0.66,0.08533020194977554
1,0.04,0.68,0.0742296918767507
1,0.05,0.1,0.11063179675806159
1,0.05,0.12,0.1116703508253034
1,0.05,0.14,0.11188979344105938
1,0.05,0.16,0.11235062293414692
1,0.05,0.18,0.10841220546189485
1,0.05,0.2,0.10782392369124402
1,0.05,0.22,0.10804586512392642
1,0.05,0.24,0.10815824648496686
1,0.05,0.26,0.10815824648496686
1,0.05,0.28,0.09545127690468193
1,0.05,0.3,0.09104423510501417
1,0.05,0.32,0.09134407035925673
1,0.05,0.34,0.09145935802819247
1,0.05,0.36,0.0903714404671196
1,0.05,0.38,0.09056384065951979
1,0.05,0.4,0.09076350123653885
1,0.05,0.42,0.09190387030143622
1,0.05,0.44,0.0920434245557398
1,0.05,0.46,0.08773920362747797
1,0.05,0.48,0.08548964140111491
1,0.05,0.5,0.08570034515164167
1,0.05,0.52,0.08592443478749599
1,0.05,0.54,0.07449586335892457
1,0.05,0.56,0.07471032967642502
1,0.05,0.58,0.07471032967642502
1,0.05,0.6,0.07471032967642502
1,0.05,0.62,0.07471032967642502
1,0.05,0.64,0.07481900543372345
1,0.05,0.66,0.07481900543372345
1,0.05,0.68,0.07481900543372345
2,0.01,0.2,0.26033555893478344
2,0.01,0.22,0.25996493237259105
2,0.01,0.24,0.260980736892773
2,0.01,0.26,0.25918915165945894
2,0.01,0.28,0.2605885837150555
2,0.01,0.3,0.2603689169131995
2,0.01,0.32,0.2579711776403942
2,0.01,0.34,0.2591181321092212
2,0.01,0.36,0.26002610742269733
2,0.01,0.38,0.2606261045079148
2,0.01,0.4,0.26124460848192965
2,0.01,0.42,0.2594615777018254
2,0.01,0.44,0.2578360294198349
2,0.01,0.46,0.2576810410060375
2,0.01,0.48,0.2575833065585936
2,0.01,0.5,0.25853963487180576
2,0.01,0.52,0.2580303009855606
2,0.01,0.54,0.25679548565778326
2,0.01,0.56,0.2567206696962429
2,0.01,0.58,0.25703032098038675
2,0.01,0.6,0.25771978657426337
2,0.01,0.62,0.2577028549862897
2,0.01,0.64,0.25649866991422093
2,0.01,0.66,0.25663602994259505
2,0.01,0.68,0.25616450591538287
2,0.02,0.2,0.25204021149816885
2,0.02,0.22,0.24880603900551762
2,0.02,0.24,0.24898779194628423
2,0.02,0.26,0.24232572362047664
2,0.02,0.28,0.2429566614548311
2,0.02,0.3,0.2441665618270446
2,0.02,0.32,0.24414247587797153
2,0.02,0.34,0.24250526801393987
2,0.02,0.36,0.24156547132780185
