Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR28375015, 100%, SRR25480264, 1%, SRR27710531, 1%
2, SRR28375015, 2%, SRR27710531, 98%, SRR25480264, 2%
3, SRR25480264, 3%, SRR27710531, 96%, SRR28375015, 3%
4, SRR28375015, 94%, SRR25480264, 4%, SRR27710531, 4%
5, SRR27710531, 5%, SRR25480264, 92%, SRR28375015, 5%
6, SRR27710531, 90%, SRR28375015, 6%, SRR25480264, 6%
7, SRR28375015, 7%, SRR25480264, 88%, SRR27710531, 7%
8, SRR28375015, 8%, SRR25480264, 86%, SRR27710531, 8%
9, SRR25480264, 84%, SRR27710531, 9%, SRR28375015, 9%
10, SRR28375015, 82%, SRR25480264, 10%, SRR27710531, 10%
