Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR27710526, 1%, SRR27638397, 100%, SRR26899121, 1%
2, SRR27638397, 2%, SRR26899121, 98%, SRR27710526, 2%
3, SRR27638397, 3%, SRR27710526, 96%, SRR26899121, 3%
4, SRR27638397, 94%, SRR27710526, 4%, SRR26899121, 4%
5, SRR26899121, 92%, SRR27638397, 5%, SRR27710526, 5%
6, SRR27710526, 6%, SRR26899121, 90%, SRR27638397, 6%
7, SRR26899121, 88%, SRR27710526, 7%, SRR27638397, 7%
8, SRR26899121, 86%, SRR27638397, 8%, SRR27710526, 8%
9, SRR26899121, 9%, SRR27710526, 84%, SRR27638397, 9%
10, SRR26899121, 10%, SRR27710526, 82%, SRR27638397, 10%
