Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR26899129, 1%, SRR28399430, 100%, SRR26899125, 1%
2, SRR28399430, 98%, SRR26899129, 2%, SRR26899125, 2%
3, SRR28399430, 96%, SRR26899129, 3%, SRR26899125, 3%
4, SRR28399430, 4%, SRR26899125, 94%, SRR26899129, 4%
5, SRR28399430, 92%, SRR26899125, 5%, SRR26899129, 5%
6, SRR26899125, 90%, SRR28399430, 6%, SRR26899129, 6%
7, SRR26899129, 88%, SRR28399430, 7%, SRR26899125, 7%
8, SRR26899125, 8%, SRR28399430, 86%, SRR26899129, 8%
9, SRR26899125, 9%, SRR26899129, 84%, SRR28399430, 9%
10, SRR28399430, 82%, SRR26899129, 10%, SRR26899125, 10%
