Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR27755678, 100%, SRR28399428, 1%, SRR27136088, 1%
2, SRR28399428, 2%, SRR27755678, 98%, SRR27136088, 2%
3, SRR27136088, 3%, SRR27755678, 96%, SRR28399428, 3%
4, SRR27136088, 94%, SRR27755678, 4%, SRR28399428, 4%
5, SRR27136088, 5%, SRR27755678, 92%, SRR28399428, 5%
6, SRR28399428, 90%, SRR27755678, 6%, SRR27136088, 6%
7, SRR28399428, 88%, SRR27755678, 7%, SRR27136088, 7%
8, SRR28399428, 86%, SRR27136088, 8%, SRR27755678, 8%
9, SRR28399428, 84%, SRR27755678, 9%, SRR27136088, 9%
10, SRR27136088, 82%, SRR28399428, 10%, SRR27755678, 10%
