Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR28370694, 1%, SRR27167517, 100%, ERR8958843, 1%
2, SRR27167517, 2%, SRR28370694, 98%, ERR8958843, 2%
3, ERR8958843, 3%, SRR27167517, 96%, SRR28370694, 3%
4, SRR28370694, 94%, ERR8958843, 4%, SRR27167517, 4%
5, ERR8958843, 92%, SRR28370694, 5%, SRR27167517, 5%
6, SRR28370694, 6%, SRR27167517, 90%, ERR8958843, 6%
7, ERR8958843, 7%, SRR28370694, 88%, SRR27167517, 7%
8, ERR8958843, 8%, SRR28370694, 86%, SRR27167517, 8%
9, ERR8958843, 84%, SRR28370694, 9%, SRR27167517, 9%
10, SRR27167517, 10%, ERR8958843, 82%, SRR28370694, 10%
