Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR28399428, 98%, SRR27755678, 1%, SRR27136088, 1%
2, SRR28399428, 2%, SRR27136088, 96%, SRR27755678, 2%
3, SRR28399428, 3%, SRR27136088, 94%, SRR27755678, 3%
4, SRR27136088, 4%, SRR27755678, 92%, SRR28399428, 4%
5, SRR27136088, 5%, SRR28399428, 90%, SRR27755678, 5%
6, SRR28399428, 6%, SRR27136088, 88%, SRR27755678, 6%
7, SRR27755678, 86%, SRR28399428, 7%, SRR27136088, 7%
8, SRR28399428, 84%, SRR27136088, 8%, SRR27755678, 8%
9, SRR27136088, 82%, SRR27755678, 9%, SRR28399428, 9%
10, SRR27755678, 10%, SRR27136088, 80%, SRR28399428, 10%
