Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR26643493, 1%, SRR27710531, 98%, SRR23387317, 1%
2, SRR27710531, 2%, SRR23387317, 96%, SRR26643493, 2%
3, SRR26643493, 94%, SRR27710531, 3%, SRR23387317, 3%
4, SRR26643493, 4%, SRR27710531, 92%, SRR23387317, 4%
5, SRR26643493, 90%, SRR27710531, 5%, SRR23387317, 5%
6, SRR26643493, 6%, SRR27710531, 88%, SRR23387317, 6%
7, SRR27710531, 86%, SRR23387317, 7%, SRR26643493, 7%
8, SRR27710531, 84%, SRR23387317, 8%, SRR26643493, 8%
9, SRR27710531, 9%, SRR23387317, 82%, SRR26643493, 9%
10, SRR26643493, 80%, SRR27710531, 10%, SRR23387317, 10%
