Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR27710526, 98%, SRR27638397, 1%, SRR26899121, 1%
2, SRR27710526, 96%, SRR27638397, 2%, SRR26899121, 2%
3, SRR26899121, 94%, SRR27638397, 3%, SRR27710526, 3%
4, SRR27710526, 4%, SRR26899121, 92%, SRR27638397, 4%
5, SRR26899121, 90%, SRR27710526, 5%, SRR27638397, 5%
6, SRR27710526, 6%, SRR26899121, 88%, SRR27638397, 6%
7, SRR27638397, 7%, SRR27710526, 86%, SRR26899121, 7%
8, SRR27710526, 84%, SRR27638397, 8%, SRR26899121, 8%
9, SRR27710526, 9%, SRR27638397, 82%, SRR26899121, 9%
10, SRR26899121, 80%, SRR27638397, 10%, SRR27710526, 10%
