Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR26899129, 98%, SRR26899125, 1%, SRR28399430, 1%
2, SRR28399430, 96%, SRR26899129, 2%, SRR26899125, 2%
3, SRR26899129, 94%, SRR28399430, 3%, SRR26899125, 3%
4, SRR28399430, 4%, SRR26899125, 92%, SRR26899129, 4%
5, SRR26899125, 5%, SRR26899129, 90%, SRR28399430, 5%
6, SRR26899129, 88%, SRR28399430, 6%, SRR26899125, 6%
7, SRR28399430, 86%, SRR26899129, 7%, SRR26899125, 7%
8, SRR26899125, 84%, SRR26899129, 8%, SRR28399430, 8%
9, SRR26899125, 9%, SRR26899129, 82%, SRR28399430, 9%
10, SRR26899125, 10%, SRR28399430, 80%, SRR26899129, 10%
