Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR25689478, 98%, SRR26036455, 1%, ERR12533301, 1%
2, SRR25689478, 96%, SRR26036455, 2%, ERR12533301, 2%
3, SRR25689478, 94%, SRR26036455, 3%, ERR12533301, 3%
4, SRR25689478, 92%, SRR26036455, 4%, ERR12533301, 4%
5, SRR25689478, 90%, SRR26036455, 5%, ERR12533301, 5%
6, SRR25689478, 88%, SRR26036455, 6%, ERR12533301, 6%
7, SRR25689478, 86%, SRR26036455, 7%, ERR12533301, 7%
8, SRR25689478, 84%, SRR26036455, 8%, ERR12533301, 8%
9, SRR25689478, 82%, SRR26036455, 9%, ERR12533301, 9%
10, SRR25689478, 80%, SRR26036455, 10%, ERR12533301, 10%
