Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR27710531, 98%, SRR26643493, 1%, SRR23387317, 1%
2, SRR27710531, 96%, SRR26643493, 2%, SRR23387317, 2%
3, SRR26643493, 3%, SRR23387317, 94%, SRR27710531, 3%
4, SRR27710531, 4%, SRR23387317, 92%, SRR26643493, 4%
5, SRR27710531, 5%, SRR26643493, 90%, SRR23387317, 5%
6, SRR27710531, 6%, SRR23387317, 88%, SRR26643493, 6%
7, SRR23387317, 7%, SRR27710531, 86%, SRR26643493, 7%
8, SRR26643493, 84%, SRR27710531, 8%, SRR23387317, 8%
9, SRR26643493, 82%, SRR23387317, 9%, SRR27710531, 9%
10, SRR27710531, 10%, SRR23387317, 80%, SRR26643493, 10%
