Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR28370694, 98%, ERR8958843, 1%, SRR27167517, 1%
2, SRR27167517, 2%, ERR8958843, 96%, SRR28370694, 2%
3, SRR27167517, 3%, ERR8958843, 94%, SRR28370694, 3%
4, SRR28370694, 92%, SRR27167517, 4%, ERR8958843, 4%
5, ERR8958843, 90%, SRR28370694, 5%, SRR27167517, 5%
6, SRR28370694, 6%, ERR8958843, 88%, SRR27167517, 6%
7, ERR8958843, 86%, SRR27167517, 7%, SRR28370694, 7%
8, SRR28370694, 8%, ERR8958843, 84%, SRR27167517, 8%
9, ERR8958843, 82%, SRR27167517, 9%, SRR28370694, 9%
10, SRR28370694, 10%, ERR8958843, 80%, SRR27167517, 10%
