Dataset,MAF,Abundance Level,Average Precision,Average Recall,Average F1 Score
clean,0.01,4,0.2399,0.8350,0.3511
clean,0.01,10,0.2440,0.9082,0.3599
clean,0.01,8,0.2515,0.9100,0.3689
clean,0.01,7,0.2500,0.9205,0.3680
clean,0.01,5,0.2475,0.8788,0.3640
clean,0.01,3,0.2137,0.6781,0.3058
clean,0.01,6,0.2511,0.8975,0.3685
clean,0.01,1,0.0878,0.2559,0.1148
clean,0.01,9,0.2444,0.9191,0.3621
clean,0.01,2,0.1792,0.5417,0.2499
clean,0.02,4,0.3073,0.7703,0.4046
clean,0.02,10,0.3341,0.9087,0.4532
clean,0.02,8,0.3385,0.9105,0.4561
clean,0.02,7,0.3208,0.9098,0.4365
clean,0.02,5,0.3207,0.8330,0.4284
clean,0.02,3,0.2676,0.6145,0.3379
clean,0.02,6,0.3169,0.8526,0.4277
clean,0.02,1,0.0936,0.1960,0.1004
clean,0.02,9,0.3285,0.9197,0.4456
clean,0.02,2,0.1974,0.3838,0.2257
clean,0.03,4,0.4202,0.5783,0.4514
clean,0.03,10,0.5092,0.9125,0.6188
clean,0.03,8,0.5040,0.8817,0.6066
clean,0.03,7,0.4949,0.8827,0.5990
clean,0.03,5,0.4516,0.6816,0.5160
clean,0.03,3,0.3549,0.4308,0.3436
clean,0.03,6,0.4681,0.7448,0.5491
clean,0.03,1,0.0779,0.1013,0.0635
clean,0.03,9,0.5088,0.9117,0.6187
clean,0.03,2,0.2431,0.2587,0.1991
clean,0.04,4,0.4809,0.4580,0.4334
clean,0.04,10,0.6381,0.8955,0.7185
clean,0.04,8,0.6039,0.7904,0.6583
clean,0.04,7,0.6039,0.7880,0.6560
clean,0.04,5,0.5509,0.6009,0.5464
clean,0.04,3,0.3767,0.2809,0.2780
clean,0.04,6,0.5620,0.6657,0.5874
clean,0.04,1,0.0248,0.0261,0.0221
clean,0.04,9,0.6425,0.8896,0.7179
clean,0.04,2,0.2176,0.1612,0.1455
clean,0.05,4,0.5152,0.3204,0.3491
clean,0.05,10,0.7197,0.8476,0.7559
clean,0.05,8,0.6702,0.7021,0.6567
clean,0.05,7,0.6595,0.6786,0.6347
clean,0.05,5,0.5852,0.4716,0.4859
clean,0.05,3,0.3775,0.1953,0.2199
clean,0.05,6,0.6082,0.5634,0.5612
clean,0.05,1,0.0204,0.0040,0.0065
clean,0.05,9,0.7211,0.8226,0.7427
clean,0.05,2,0.2302,0.0785,0.0923
contaminated,0.01,5,0.2298,0.8233,0.3414
contaminated,0.01,7,0.2335,0.8392,0.3466
