Dataset,MAF,Abundance Level,Precision,Recall,F1 Score
120,bf_0.01,4,0.4694,0.6498,0.5261
120,bf_0.01,10,0.5360,0.8656,0.6442
120,bf_0.01,5,0.5191,0.7742,0.6009
120,bf_0.01,3,0.4139,0.5107,0.4402
120,bf_0.01,7,0.5349,0.8412,0.6338
120,bf_0.01,8,0.5538,0.8583,0.6554
120,bf_0.01,6,0.5320,0.8102,0.6219
120,bf_0.01,9,0.5370,0.8705,0.6469
120,bf_0.01,2,0.2884,0.2947,0.2683
120,bf_0.01,1,0.1212,0.1140,0.1037
120,bf_0.02,4,0.3554,0.5736,0.4166
120,bf_0.02,10,0.4373,0.8779,0.5574
120,bf_0.02,8,0.4412,0.8375,0.5513
120,bf_0.02,7,0.4279,0.8005,0.5318
120,bf_0.02,5,0.3896,0.6600,0.4680
120,bf_0.02,3,0.2982,0.4225,0.3294
120,bf_0.02,6,0.4085,0.7092,0.4962
120,bf_0.02,1,0.0875,0.0992,0.0801
120,bf_0.02,9,0.4445,0.8648,0.5637
120,bf_0.02,2,0.2085,0.2836,0.2083
120,bf_0.03,4,0.3691,0.5468,0.4111
120,bf_0.03,10,0.4590,0.8709,0.5721
120,bf_0.03,8,0.4617,0.8283,0.5636
120,bf_0.03,7,0.4446,0.7884,0.5384
120,bf_0.03,5,0.4069,0.6426,0.4697
120,bf_0.03,3,0.3143,0.3965,0.3212
120,bf_0.03,6,0.4256,0.6933,0.5005
120,bf_0.03,1,0.0857,0.0885,0.0707
120,bf_0.03,9,0.4659,0.8638,0.5773
120,bf_0.03,2,0.2158,0.2621,0.1922
120,bf_0.04,4,0.4320,0.4258,0.3870
120,bf_0.04,10,0.5535,0.8076,0.6324
120,bf_0.04,8,0.5433,0.7577,0.6038
120,bf_0.04,7,0.5242,0.7102,0.5735
120,bf_0.04,5,0.4705,0.5359,0.4680
120,bf_0.04,3,0.3667,0.2982,0.2906
120,bf_0.04,6,0.4902,0.6062,0.5128
120,bf_0.04,1,0.0576,0.0577,0.0525
120,bf_0.04,9,0.5695,0.8191,0.6474
120,bf_0.04,2,0.2456,0.1892,0.1600
120,bf_0.05,4,0.3565,0.2489,0.2313
120,bf_0.05,8,0.5186,0.5879,0.5080
120,bf_0.05,7,0.5110,0.5626,0.4876
120,bf_0.05,5,0.4008,0.3465,0.3271
120,bf_0.05,3,0.2903,0.1523,0.1469
120,bf_0.05,6,0.4531,0.4181,0.3912
120,bf_0.05,1,0.0295,0.0294,0.0278
120,bf_0.05,9,0.5597,0.6734,0.5765
120,bf_0.05,2,0.2107,0.1493,0.1026
120,bf_0.05,10,0.5553,0.6659,0.5752
170,bf_0.01,4,0.2719,0.6817,0.3680
170,bf_0.01,10,0.3165,0.9160,0.4419
170,bf_0.01,8,0.3175,0.9046,0.4417
170,bf_0.01,7,0.3143,0.8799,0.4368
170,bf_0.01,5,0.2955,0.7842,0.4066
170,bf_0.01,3,0.2513,0.5999,0.3333
170,bf_0.01,6,0.3155,0.8518,0.4366
170,bf_0.01,1,0.0825,0.1573,0.0927
170,bf_0.01,9,0.3148,0.9243,0.4429
170,bf_0.01,2,0.1911,0.4138,0.2401
170,bf_0.02,4,0.2830,0.6522,0.3735
