Dataset,MAF,Abundance Level,Average F1 Score,Average Precision,Average Recall
clean,0.01,4,0.4017,0.5298,0.3388
clean,0.01,10,0.7411,0.7507,0.7516
clean,0.01,8,0.6209,0.6654,0.5964
clean,0.01,7,0.6093,0.6753,0.5731
clean,0.01,5,0.4949,0.6142,0.4347
clean,0.01,3,0.2828,0.4466,0.2258
clean,0.01,6,0.5490,0.6377,0.4945
clean,0.01,1,0.0942,0.5309,0.0587
clean,0.01,9,0.7023,0.7457,0.6829
clean,0.01,2,0.1874,0.3980,0.1302
clean,0.02,4,0.4944,0.5960,0.4469
clean,0.02,10,0.8088,0.7761,0.8575
clean,0.02,8,0.7174,0.7170,0.7390
clean,0.02,7,0.7160,0.7259,0.7301
clean,0.02,5,0.5823,0.6475,0.5541
clean,0.02,3,0.3922,0.5129,0.3350
clean,0.02,6,0.6557,0.7075,0.6380
clean,0.02,1,0.1069,0.3214,0.0780
clean,0.02,9,0.7858,0.7607,0.8222
clean,0.02,2,0.2889,0.4503,0.2265
clean,0.03,4,0.5819,0.6718,0.5358
clean,0.03,10,0.8186,0.7791,0.8711
clean,0.03,8,0.7605,0.7486,0.7902
clean,0.03,7,0.7454,0.7447,0.7675
clean,0.03,5,0.6279,0.6874,0.6042
clean,0.03,3,0.4254,0.5499,0.3639
clean,0.03,6,0.6626,0.7017,0.6588
clean,0.03,1,0.1138,0.3284,0.0781
clean,0.03,9,0.7995,0.7619,0.8511
clean,0.03,2,0.3036,0.4804,0.2350
clean,0.04,4,0.5680,0.7609,0.4784
clean,0.04,10,0.8742,0.8611,0.8972
clean,0.04,8,0.8032,0.8245,0.7977
clean,0.04,7,0.8002,0.8410,0.7781
clean,0.04,5,0.6598,0.8003,0.5945
clean,0.04,3,0.4314,0.6675,0.3403
clean,0.04,6,0.6825,0.8041,0.6320
clean,0.04,1,0.0881,0.3409,0.0591
clean,0.04,9,0.8556,0.8426,0.8800
clean,0.04,2,0.2787,0.5239,0.1967
clean,0.05,4,0.5784,0.7687,0.4942
clean,0.05,10,0.8720,0.8748,0.8768
clean,0.05,8,0.8251,0.8708,0.7969
clean,0.05,7,0.7938,0.8443,0.7708
clean,0.05,5,0.6388,0.8189,0.5697
clean,0.05,3,0.3685,0.6350,0.2944
clean,0.05,6,0.6883,0.8145,0.6377
clean,0.05,1,0.1235,0.3875,0.0862
clean,0.05,9,0.8701,0.8804,0.8683
clean,0.05,2,0.3135,0.5926,0.2238
contaminated,0.01,5,0.4826,0.4829,0.6174
