Dataset,MAF,Abundance Level,Average F1 Score,Average Precision,Average Recall
clean,0.01,4,0.4044,0.4796,0.3814
clean,0.01,10,0.7360,0.6750,0.8355
clean,0.01,8,0.6597,0.6452,0.7095
clean,0.01,7,0.6558,0.6378,0.7086
clean,0.01,5,0.4947,0.5358,0.4839
clean,0.01,3,0.3125,0.4242,0.2785
clean,0.01,6,0.5742,0.5816,0.5880
clean,0.01,1,0.0626,0.2341,0.0491
clean,0.01,9,0.7279,0.6870,0.8035
clean,0.01,2,0.2026,0.3538,0.1678
clean,0.02,4,0.5041,0.5950,0.4606
clean,0.02,10,0.8072,0.7665,0.8658
clean,0.02,8,0.7073,0.7056,0.7345
clean,0.02,7,0.7272,0.7222,0.7578
clean,0.02,5,0.5894,0.6469,0.5649
clean,0.02,3,0.3766,0.5021,0.3238
clean,0.02,6,0.6405,0.6805,0.6305
clean,0.02,1,0.1131,0.3178,0.0871
clean,0.02,9,0.7819,0.7464,0.8349
clean,0.02,2,0.2563,0.3984,0.2058
clean,0.03,4,0.5797,0.6522,0.5427
clean,0.03,10,0.8066,0.7530,0.8776
clean,0.03,8,0.7532,0.7371,0.7902
clean,0.03,7,0.7397,0.7225,0.7757
clean,0.03,5,0.6420,0.6821,0.6304
clean,0.03,3,0.4245,0.5337,0.3696
clean,0.03,6,0.6571,0.6764,0.6638
clean,0.03,1,0.0968,0.2654,0.0686
clean,0.03,9,0.7933,0.7442,0.8580
clean,0.03,2,0.3117,0.4614,0.2501
clean,0.04,4,0.5768,0.7027,0.5113
clean,0.04,10,0.8587,0.8202,0.9063
clean,0.04,8,0.7961,0.7864,0.8128
clean,0.04,7,0.7818,0.7955,0.7783
clean,0.04,5,0.6632,0.7320,0.6238
clean,0.04,3,0.4500,0.6098,0.3744
clean,0.04,6,0.6756,0.7327,0.6545
clean,0.04,1,0.0952,0.3447,0.0664
clean,0.04,9,0.8246,0.7853,0.8737
clean,0.04,2,0.3016,0.4697,0.2331
clean,0.05,4,0.5731,0.7603,0.4902
clean,0.05,10,0.8763,0.8741,0.8872
clean,0.05,8,0.8331,0.8612,0.8226
clean,0.05,7,0.7928,0.8330,0.7774
clean,0.05,5,0.6470,0.8159,0.5835
clean,0.05,3,0.3711,0.6098,0.2981
clean,0.05,6,0.6829,0.8005,0.6307
clean,0.05,1,0.1212,0.3370,0.0841
clean,0.05,9,0.8673,0.8637,0.8794
clean,0.05,2,0.3223,0.5705,0.2363
contaminated,0.01,5,0.4802,0.4506,0.6828
contaminated,0.01,7,0.5420,0.4749,0.7834
contaminated,0.01,10,0.5996,0.5039,0.8910
contaminated,0.01,6,0.5388,0.4774,0.8053
contaminated,0.01,3,0.3208,0.3479,0.3905
contaminated,0.01,4,0.3939,0.3910,0.5386
contaminated,0.01,8,0.5840,0.4983,0.8635
contaminated,0.01,1,0.1051,0.1064,0.1842
contaminated,0.01,9,0.5895,0.4976,0.8837
contaminated,0.01,2,0.2388,0.2834,0.2902
contaminated,0.02,5,0.6090,0.5907,0.6646
contaminated,0.02,7,0.6829,0.6167,0.8128
contaminated,0.02,10,0.7082,0.6110,0.8969
contaminated,0.02,6,0.6269,0.5898,0.7037
contaminated,0.02,3,0.4415,0.4793,0.4610
contaminated,0.02,4,0.5270,0.5316,0.5911
contaminated,0.02,8,0.7041,0.6210,0.8633
contaminated,0.02,1,0.1889,0.2432,0.1930
contaminated,0.02,9,0.7019,0.6099,0.8850
contaminated,0.02,2,0.3622,0.4364,0.3637
contaminated,0.03,5,0.6238,0.5969,0.6810
contaminated,0.03,7,0.6641,0.6023,0.7664
contaminated,0.03,10,0.7237,0.6320,0.8766
contaminated,0.03,6,0.6816,0.6265,0.7765
contaminated,0.03,3,0.5031,0.5224,0.5222
contaminated,0.03,4,0.5544,0.5455,0.6039
contaminated,0.03,8,0.6912,0.6225,0.7971
contaminated,0.03,1,0.2009,0.2759,0.1907
contaminated,0.03,9,0.7132,0.6249,0.8611
contaminated,0.03,2,0.4088,0.4766,0.3829
contaminated,0.04,5,0.6674,0.6474,0.7023
contaminated,0.04,7,0.6872,0.6382,0.7555
contaminated,0.04,10,0.7074,0.6242,0.8451
contaminated,0.04,6,0.7020,0.6522,0.7741
contaminated,0.04,3,0.5037,0.5332,0.4947
contaminated,0.04,4,0.5634,0.5647,0.5881
