Organism,Isolate,Total_Mutations,Proximity_Mutations,Novel_Mutations,Co_Occurring_Not_Novel_Mutations,Percent_Co_Occurring_Not_Novel,Co_Occurring_Mutations,Percent_Co_Occurring,Percent_Novel,Percent_Proximity,Average_Proximity_Density
Campylobacter jejuni,SRR26899118,453,437,358,38,8.388520971302428,183,40.397350993377486,79.02869757174393,96.46799116997794,28.039735099337747
Campylobacter jejuni,SRR26353490,290,269,214,28,9.655172413793103,115,39.6551724137931,73.79310344827587,92.75862068965517,17.337931034482757
Campylobacter jejuni,SRR27638397,86,64,66,7,8.13953488372093,32,37.2093023255814,76.74418604651163,74.4186046511628,9.581395348837209
Campylobacter jejuni,SRR27710526,170,155,135,15,8.823529411764707,51,30.0,79.41176470588235,91.17647058823529,9.964705882352941
Campylobacter jejuni,SRR27710532,176,165,140,17,9.659090909090908,63,35.79545454545455,79.54545454545455,93.75,11.284090909090908
Escherichia coli,SRR28370668,145,131,119,7,4.827586206896552,29,20.0,82.06896551724138,90.3448275862069,8.358620689655172
Escherichia coli,SRR24837710,749,731,598,81,10.814419225634179,413,55.140186915887845,79.83978638184246,97.59679572763686,41.67423230974633
Escherichia coli,SRR24837712,784,763,618,97,12.372448979591837,432,55.10204081632652,78.8265306122449,97.32142857142857,41.61479591836735
Escherichia coli,SRR24834173,808,796,644,100,12.376237623762377,478,59.15841584158416,79.70297029702971,98.51485148514851,44.36138613861386
Escherichia coli,SRR25689478,92,72,74,4,4.3478260869565215,25,27.173913043478258,80.43478260869566,78.26086956521739,5.630434782608695
Escherichia coli,SRR26036455,96,77,71,5,5.208333333333334,29,30.208333333333332,73.95833333333334,80.20833333333334,6.6875
Escherichia coli,SRR28789463,189,177,137,15,7.936507936507936,70,37.03703703703704,72.4867724867725,93.65079365079364,18.761904761904763
Escherichia coli,SRR28789469,180,171,130,18,10.0,73,40.55555555555556,72.22222222222221,95.0,17.044444444444444
Escherichia coli,SRR28800569,170,159,114,13,7.647058823529412,62,36.470588235294116,67.05882352941175,93.52941176470588,14.235294117647058
Escherichia coli,SRR28800580,219,212,151,26,11.87214611872146,83,37.89954337899543,68.94977168949772,96.80365296803653,17.269406392694062
Escherichia coli,SRR28789754,108,94,90,11,10.185185185185185,59,54.629629629629626,83.33333333333334,87.03703703703704,8.777777777777779
Escherichia coli,SRR26036458,172,154,129,5,2.9069767441860463,25,14.534883720930234,75.0,89.53488372093024,9.372093023255815
Klebsiella pneumoniae,ERR8958810,597,583,553,14,2.3450586264656614,191,31.993299832495815,92.62981574539364,97.65494137353434,33.45728643216081
Klebsiella pneumoniae,ERR8958737,219,208,199,5,2.28310502283105,66,30.136986301369863,90.8675799086758,94.97716894977168,13.19634703196347
Klebsiella pneumoniae,SRR27348733,56,38,54,0,0.0,14,25.0,96.42857142857143,67.85714285714286,3.1785714285714284
Klebsiella pneumoniae,SRR29213739,290,275,258,10,3.4482758620689653,116,40.0,88.96551724137932,94.82758620689656,21.862068965517242
Klebsiella pneumoniae,SRR24833081,199,174,182,3,1.507537688442211,55,27.63819095477387,91.4572864321608,87.43718592964824,12.020100502512562
Staphylococcus aureus,ERR8958848,180,167,124,19,10.555555555555555,72,40.0,68.88888888888889,92.77777777777779,10.322222222222223
Staphylococcus aureus,SRR28370694,9,3,5,1,11.11111111111111,2,22.22222222222222,55.55555555555556,33.33333333333333,0.6666666666666666
Staphylococcus aureus,ERR8958843,62,52,45,8,12.903225806451612,30,48.38709677419355,72.58064516129032,83.87096774193549,4.806451612903226
Staphylococcus aureus,SRR28370638,92,74,66,5,5.434782608695652,22,23.91304347826087,71.73913043478261,80.43478260869566,4.782608695652174
Staphylococcus aureus,SRR25890190,638,627,495,47,7.366771159874608,202,31.661442006269592,77.58620689655173,98.27586206896551,32.73040752351097
Staphylococcus aureus,SRR25865495,44,30,27,7,15.909090909090908,16,36.36363636363637,61.36363636363637,68.18181818181817,2.9545454545454546
Salmonella enterica,SRR27755684,54,33,36,5,9.25925925925926,19,35.18518518518518,66.66666666666666,61.111111111111114,3.4444444444444446
Salmonella enterica,SRR26899146,205,193,147,16,7.804878048780488,66,32.19512195121951,71.70731707317073,94.14634146341463,12.985365853658537
Salmonella enterica,SRR27136090,206,194,145,30,14.563106796116504,93,45.14563106796117,70.3883495145631,94.1747572815534,12.135922330097088
Salmonella enterica,SRR28399428,252,240,179,45,17.857142857142858,115,45.63492063492063,71.03174603174604,95.23809523809523,14.515873015873016
Salmonella enterica,SRR27136088,194,179,133,28,14.432989690721648,89,45.876288659793815,68.55670103092784,92.26804123711341,11.845360824742269
Salmonella enterica,SRR27755678,56,42,36,7,12.5,18,32.142857142857146,64.28571428571429,75.0,3.107142857142857
Listeria monocytogenes,SRR27755667,119,108,105,3,2.5210084033613445,37,31.092436974789916,88.23529411764706,90.75630252100841,7.7478991596638656
Listeria monocytogenes,SRR27755674,41,27,32,3,7.317073170731707,12,29.268292682926827,78.04878048780488,65.85365853658537,1.853658536585366
Listeria monocytogenes,SRR26899103,24,13,23,0,0.0,4,16.666666666666664,95.83333333333334,54.166666666666664,0.9166666666666666
Listeria monocytogenes,SRR25999202,29,19,24,1,3.4482758620689653,8,27.586206896551722,82.75862068965517,65.51724137931035,2.4827586206896552
Pseudomonas aeruginosa,SRR24833086,91,65,83,2,2.197802197802198,29,31.868131868131865,91.20879120879121,71.42857142857143,4.549450549450549
Pseudomonas aeruginosa,ERR8958866,301,281,272,10,3.322259136212625,82,27.242524916943523,90.36544850498339,93.35548172757476,15.169435215946844
